Problem_Type,Machine_ID,Predicted_Label,Predicted_Value,Anomaly_Count,Priority_Level,Priority_Score,Reason_for_Action,Recommended_Action,Contributing_Factors,Estimated_Cost,Timeframe,Model_Confidence,Model_Warning
classification,Unknown,1.0,,,Critical,3.0,"Model predicted '1.0' for the current operating state. Key drivers include: Feature_1, Feature_19, Feature_6.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Feature_1=14.34, Feature_19=1.00, Feature_6=0.00","High ($5,000+)",Within 24-48 hours,High,
classification,Unknown,1.0,,,Critical,3.0,"Model predicted '1.0' for the current operating state. Key drivers include: Feature_1, Feature_19, Feature_6.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Feature_1=75.02, Feature_19=0.00, Feature_6=0.00","High ($5,000+)",Within 24-48 hours,High,
classification,Unknown,1.0,,,Critical,3.0,"Model predicted '1.0' for the current operating state. Key drivers include: Feature_1, Feature_19, Feature_6.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Feature_1=14.82, Feature_19=0.00, Feature_6=0.00","High ($5,000+)",Within 24-48 hours,High,
classification,Unknown,1.0,,,Critical,3.0,"Model predicted '1.0' for the current operating state. Key drivers include: Feature_1, Feature_19, Feature_6.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Feature_1=13.81, Feature_19=0.00, Feature_6=0.00","High ($5,000+)",Within 24-48 hours,High,
classification,Unknown,1.0,,,Critical,3.0,"Model predicted '1.0' for the current operating state. Key drivers include: Feature_1, Feature_19, Feature_6.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Feature_1=9.76, Feature_19=0.00, Feature_6=0.00","High ($5,000+)",Within 24-48 hours,High,
classification,Unknown,1.0,,,Critical,3.0,"Model predicted '1.0' for the current operating state. Key drivers include: Feature_1, Feature_19, Feature_6.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Feature_1=77.74, Feature_19=1.00, Feature_6=0.00","High ($5,000+)",Within 24-48 hours,High,
classification,Unknown,1.0,,,Critical,3.0,"Model predicted '1.0' for the current operating state. Key drivers include: Feature_1, Feature_19, Feature_6.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Feature_1=17.34, Feature_19=1.00, Feature_6=0.00","High ($5,000+)",Within 24-48 hours,High,
classification,Unknown,1.0,,,Critical,3.0,"Model predicted '1.0' for the current operating state. Key drivers include: Feature_1, Feature_19, Feature_6.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Feature_1=76.20, Feature_19=1.00, Feature_6=0.00","High ($5,000+)",Within 24-48 hours,High,
classification,Unknown,1.0,,,Critical,3.0,"Model predicted '1.0' for the current operating state. Key drivers include: Feature_1, Feature_19, Feature_6.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Feature_1=11.77, Feature_19=0.00, Feature_6=0.00","High ($5,000+)",Within 24-48 hours,High,
classification,Unknown,1.0,,,Critical,3.0,"Model predicted '1.0' for the current operating state. Key drivers include: Feature_1, Feature_19, Feature_6.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Feature_1=86.02, Feature_19=0.00, Feature_6=1.00","High ($5,000+)",Within 24-48 hours,High,
classification,Unknown,1.0,,,Critical,3.0,"Model predicted '1.0' for the current operating state. Key drivers include: Feature_1, Feature_19, Feature_6.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Feature_1=72.04, Feature_19=1.00, Feature_6=0.00","High ($5,000+)",Within 24-48 hours,High,
classification,Unknown,1.0,,,Critical,3.0,"Model predicted '1.0' for the current operating state. Key drivers include: Feature_1, Feature_19, Feature_6.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Feature_1=74.00, Feature_19=1.00, Feature_6=0.00","High ($5,000+)",Within 24-48 hours,High,
classification,Unknown,1.0,,,Critical,3.0,"Model predicted '1.0' for the current operating state. Key drivers include: Feature_1, Feature_19, Feature_6.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Feature_1=15.82, Feature_19=1.00, Feature_6=0.00","High ($5,000+)",Within 24-48 hours,High,
classification,Unknown,1.0,,,Critical,3.0,"Model predicted '1.0' for the current operating state. Key drivers include: Feature_1, Feature_19, Feature_6.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Feature_1=82.97, Feature_19=0.00, Feature_6=1.00","High ($5,000+)",Within 24-48 hours,High,
classification,Unknown,1.0,,,Critical,3.0,"Model predicted '1.0' for the current operating state. Key drivers include: Feature_1, Feature_19, Feature_6.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Feature_1=13.77, Feature_19=0.00, Feature_6=0.00","High ($5,000+)",Within 24-48 hours,High,
classification,Unknown,1.0,,,Critical,3.0,"Model predicted '1.0' for the current operating state. Key drivers include: Feature_1, Feature_19, Feature_6.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Feature_1=73.46, Feature_19=1.00, Feature_6=0.00","High ($5,000+)",Within 24-48 hours,High,
classification,Unknown,1.0,,,Critical,3.0,"Model predicted '1.0' for the current operating state. Key drivers include: Feature_1, Feature_19, Feature_6.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Feature_1=73.48, Feature_19=1.00, Feature_6=0.00","High ($5,000+)",Within 24-48 hours,High,
classification,Unknown,1.0,,,Critical,3.0,"Model predicted '1.0' for the current operating state. Key drivers include: Feature_1, Feature_19, Feature_6.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Feature_1=14.22, Feature_19=0.00, Feature_6=0.00","High ($5,000+)",Within 24-48 hours,High,
classification,Unknown,1.0,,,Critical,3.0,"Model predicted '1.0' for the current operating state. Key drivers include: Feature_1, Feature_19, Feature_6.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Feature_1=14.30, Feature_19=1.00, Feature_6=0.00","High ($5,000+)",Within 24-48 hours,High,
classification,Unknown,1.0,,,Critical,3.0,"Model predicted '1.0' for the current operating state. Key drivers include: Feature_1, Feature_19, Feature_6.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Feature_1=15.33, Feature_19=0.00, Feature_6=0.00","High ($5,000+)",Within 24-48 hours,High,
